7.1481,3.6352,2.4676,1.8868,1.5411,1.3134,1.1537,1.0371,0.94998,0.88457,0.19685,0.2943,0.29885,0.35774,0.34756,0.46396,0.36015,0.38272,0.40726,0.42502,0.4365,0.4433,0.44682,0.44814,0.44803,0.44701,0.44548,0.44368,0.4418,0.43996,0.43823,0.43667,0.43531,0.43417,0.43325,0.43256,0.4321,0.43185,0.43181,0.43196,0.43231,0.43283,0.43352,0.43436,0.43535,0.43648,0.43774,0.43911,0.4406,0.44219,0.44387
7.3644,3.7411,2.5364,1.9367,1.5793,1.3435,1.1775,1.0557,0.96385,0.89372,0.18086,0.30478,0.3169,0.37871,0.36761,0.36015,0.43996,0.37041,0.40673,0.43591,0.45362,0.4626,0.46564,0.4648,0.46152,0.45677,0.45122,0.44528,0.43926,0.43334,0.42766,0.42228,0.41725,0.4126,0.40834,0.40446,0.40096,0.39782,0.39503,0.39258,0.39045,0.38861,0.38706,0.38577,0.38474,0.38394,0.38336,0.38299,0.38281,0.38281,0.38298
7.5745,3.8442,2.6036,1.9856,1.617,1.3734,1.2015,1.0748,0.97872,0.90456,0.16814,0.31836,0.33728,0.40193,0.39768,0.38272,0.37041,0.43112,0.37143,0.39955,0.41503,0.41821,0.41384,0.40552,0.39555,0.3853,0.37558,0.36679,0.35914,0.35269,0.34742,0.34329,0.34019,0.33805,0.33677,0.33624,0.3364,0.33715,0.33843,0.34016,0.34229,0.34476,0.34753,0.35056,0.3538,0.35724,0.36082,0.36454,0.36837,0.37229,0.37628
7.779,3.9447,2.6691,2.0334,1.654,1.4029,1.2254,1.0942,0.99424,0.91651,0.15771,0.33362,0.35795,0.42365,0.4248,0.40726,0.40673,0.37143,0.40122,0.37652,0.41868,0.43917,0.44276,0.43632,0.42454,0.41032,0.39543,0.38089,0.36727,0.35489,0.34388,0.33427,0.32603,0.31911,0.3134,0.30883,0.30529,0.30268,0.30093,0.29993,0.29962,0.29992,0.30076,0.30209,0.30384,0.30597,0.30843,0.31118,0.31419,0.31742,0.32084
7.9783,4.0427,2.7331,2.0803,1.6903,1.432,1.2492,1.1137,1.0102,0.92921,0.14897,0.34977,0.3781,0.44304,0.44727,0.42502,0.43591,0.39955,0.37652,0.41756,0.39241,0.41519,0.41275,0.39563,0.37291,0.34982,0.32906,0.3118,0.29838,0.28867,0.28234,0.27895,0.27805,0.2792,0.28201,0.28611,0.29122,0.29707,0.30345,0.31018,0.31711,0.32412,0.33112,0.33803,0.34479,0.35136,0.3577,0.3638,0.36962,0.37517,0.38044
8.1727,4.1384,2.7958,2.1262,1.7261,1.4608,1.2728,1.1333,1.0263,0.94241,0.1415,0.36636,0.39743,0.46009,0.4655,0.4365,0.45362,0.41503,0.41868,0.39241,0.35733,0.36482,0.40486,0.41406,0.40543,0.38877,0.36959,0.35079,0.33379,0.31916,0.30708,0.29744,0.29007,0.2847,0.28108,0.27897,0.27812,0.27834,0.27944,0.28126,0.28366,0.28653,0.28975,0.29325,0.29695,0.30079,0.30473,0.30873,0.31274,0.31674,0.3207
8.3626,4.232,2.8571,2.1712,1.7612,1.4892,1.2962,1.1528,1.0427,0.95595,0.13503,0.38312,0.41582,0.47505,0.48025,0.4433,0.4626,0.41821,0.43917,0.41519,0.36482,0.40597,0.42029,0.4377,0.41548,0.37633,0.33475,0.2981,0.26946,0.24951,0.2377,0.23289,0.23374,0.23893,0.24725,0.25767,0.26932,0.28152,0.29373,0.30555,0.31668,0.32693,0.33617,0.34433,0.35138,0.35734,0.36223,0.36612,0.36906,0.37112,0.37239
8.5483,4.3236,2.9171,2.2154,1.7957,1.5172,1.3194,1.1723,1.059,0.96969,0.12936,0.39989,0.43328,0.48822,0.49224,0.44682,0.46564,0.41384,0.44276,0.41275,0.40486,0.42029,0.34409,0.35821,0.37565,0.36238,0.33965,0.31827,0.30215,0.29181,0.28638,0.28456,0.28511,0.28698,0.28939,0.29179,0.29384,0.29535,0.29623,0.29648,0.29616,0.29533,0.29411,0.29258,0.29085,0.289,0.28711,0.28526,0.2835,0.28189,0.28046
8.73,4.4132,2.976,2.2588,1.8297,1.5447,1.3423,1.1916,1.0754,0.98357,0.12433,0.41656,0.44985,0.49987,0.50209,0.44814,0.4648,0.40552,0.43632,0.39563,0.41406,0.4377,0.35821,0.34556,0.40959,0.4384,0.41389,0.36798,0.31953,0.27798,0.24709,0.22744,0.21795,0.21674,0.22176,0.23106,0.24293,0.25597,0.26912,0.28159,0.29284,0.30253,0.31049,0.31667,0.3211,0.32389,0.32517,0.32511,0.3239,0.3217,0.3187
8.9081,4.5012,3.0338,2.3014,1.8631,1.5719,1.3649,1.2107,1.0917,0.99751,0.11983,0.43306,0.46559,0.51025,0.51027,0.44803,0.46152,0.39555,0.42454,0.37291,0.40543,0.41548,0.37565,0.40959,0.38264,0.40989,0.38899,0.3309,0.27543,0.23888,0.2237,0.22596,0.23966,0.25903,0.27942,0.29758,0.31157,0.3205,0.32427,0.32327,0.31821,0.30995,0.29938,0.28735,0.2746,0.26181,0.24948,0.23806,0.22783,0.21901,0.21174
9.0826,4.5874,3.0905,2.3432,1.8959,1.5987,1.3873,1.2297,1.1079,1.0115,0.11578,0.44934,0.48058,0.51957,0.51713,0.44701,0.45677,0.3853,0.41032,0.34982,0.38877,0.37633,0.36238,0.4384,0.40989,0.29722,0.35399,0.36887,0.34694,0.31865,0.29535,0.27918,0.26888,0.26249,0.25829,0.25515,0.25244,0.24989,0.24748,0.24528,0.24343,0.24205,0.2412,0.24095,0.24129,0.24219,0.2436,0.24544,0.24764,0.25009,0.25273
